,contribution,class_label,label_code,glove_classification,glove_label,ann_classification,ann_label,kmeans_cluster,x_axis,y_axis,partition
0,Volunteered at a community garden,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.107780874292293,1.2775144841560693,training
1,conceptualised experiments,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,8,-0.47025743401885617,-0.4043465535688917,training
2,ran Gingko on data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.5183025002370253,0.664533859147606,training
3,verified linked non-identifiable microbiological and genomic data,Data curation,1,1,Data curation,1,Data curation,16,2.698054256519251,2.54583968223289,training
4,had full access to the data,Sonstiges,10,10,Sonstiges,10,Sonstiges,2,1.7595771572650958,-0.7920122309422744,training
5,supported for sequencing ,Sonstiges,10,10,Sonstiges,10,Sonstiges,5,-0.8142469312045517,-0.1299512521822014,training
6,"provided oversight in study design, conducting experiments, data analysis, and manuscript revision",Supervision,11,11,Supervision,11,Supervision,16,2.6979683034537394,2.409662498830349,training
7,oversaw review and editing of writing,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,10,1.5111786426881553,1.3515255740920646,training
8,assisted all experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.45575064851101754,-0.3965917058528941,training
9,allowed aerosol technology to the project,Resources,8,8,Resources,8,Resources,1,0.7111788803987237,-1.8648385541880625,training
10,conceptualised task,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5755690244017265,-0.42933866387482267,training
11,Created a vision board for your goals,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.4278978838127956,1.6120509845337951,training
12,Wrote a poem about nature,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.209397421811809,1.3883869516002998,training
13,developed AutoCoEv,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5404105640667893,-0.3951427707408946,training
14,tested software,Validation,13,13,Validation,13,Validation,11,-0.5394679593605631,-0.414206601017728,training
15,gained ethical approval,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5461767211855755,-0.40063553910968086,training
16,Designed a new board game,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1204021357692935,1.301280980807545,training
17,Organized a fundraising car wash,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1298473972212224,1.295918572356233,training
18,performed transcriptional profiling,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5461378133149032,-0.4052923529582474,training
19,developed ASCAT.m and CAMDAC,Software,9,9,Software,9,Software,10,1.4669751599875778,1.3595766044748039,training
20,discussed manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5025720956183273,-0.4349702911771733,training
21,conceived the study,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,1,0.7049112933630957,-1.8235268546391237,training
22,selected drug targets,Project administration,7,7,Project administration,7,Project administration,7,-0.547836024253327,-0.404482748420776,training
23,were responsible for experiments and data analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,16,2.3784540846005284,2.7047937605472203,training
24,verified the identifiable participant data,Data curation,1,1,Data curation,1,Data curation,2,1.8656968675682295,-0.7602245835022716,training
25,Took up photography as a hobby,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.140764023458625,1.3112113299167363,training
26,Wrote a letter of appreciation to a teacher,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.196211391884013,1.385578654604409,training
27,contributed to study conception and design,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,10,1.5959745063541675,1.4056088501806765,training
28,performed laboratory procedures,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5289449210148961,-0.40009418249471806,training
29,Created a family tree,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1233527758229207,1.3050832904179912,training
30,has coordinated the team,Supervision,11,11,Supervision,11,Supervision,1,0.7045331487280253,-1.8264616278335064,training
31,oversaw data curation,Data curation,1,1,Data curation,1,Data curation,2,0.504868643503074,0.6478558757986403,training
32,collected data,Data curation,1,1,Data curation,1,Data curation,2,0.5040510796031962,0.6480882219617004,training
33,wrote initial version of the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,1,0.6268590445595452,-1.7527039800992303,training
34,contributed to the creation of the UK Biobank COVID-19 re-imaging project,Sonstiges,10,10,Sonstiges,10,Sonstiges,1,0.8349557437425686,-1.909163963685881,training
35,Designed and built a website,Other - not related,6,6,Other - not related,6,Other - not related,10,-0.06552946492804079,3.035308500932752,training
36,designed and performed most in vivo and in vitro studies,Investigation,4,4,Investigation,4,Investigation,10,1.5077524633774038,1.3947031571941677,training
37,Planned a weekend getaway with friends,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.128145736131973,1.32349697353122,training
38,prepared figures,Visualization / Visualisation,14,14,Visualization / Visualisation,14,Visualization / Visualisation,7,-0.5493174237073523,-0.4182929169656315,training
39,contributed to experimental design,Investigation,4,4,Investigation,4,Investigation,13,-0.4325435956745913,-0.3811276551466054,training
40,carried out the imaging analyses,Formal analysis,2,2,Formal analysis,2,Formal analysis,1,0.7130471266677069,-1.9540882198834317,training
41,curated data,Data curation,1,1,Data curation,1,Data curation,2,0.4995665142895005,0.6396738683599914,training
42,annotated the data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,1.7475237494286857,-0.7919457411470728,training
43,oversaw anaylses,Supervision,11,11,Supervision,11,Supervision,7,-0.5442836213735822,-0.3931795944948551,training
44,reviewed  manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.48144750294432354,-0.43943047054871526,training
45,Learned to play poker or blackjack,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5520293104796808,-0.3843629467172658,training
46,obtained human lung and kidney samples,Resources,8,8,Resources,8,Resources,10,1.4613648098289693,1.36274645941021,training
47,were responsible for patient selection and data collection,Resources,8,8,Resources,8,Resources,16,2.294359291083094,2.7219720102985354,training
48,interpreted findings,Investigation,4,4,Investigation,4,Investigation,7,-0.5457309463628993,-0.39440404914607086,training
49,approved manuscript,Supervision,11,11,Supervision,11,Supervision,7,-0.47284795000133834,-0.43000888677421367,training
50,devised experimental strategy  ,Project administration,7,7,Project administration,7,Project administration,13,-0.49641551143133966,-0.4188332474449489,training
51,designed and implemented the software,Software,9,9,Software,9,Software,4,2.740931834884338,-0.1035488549427401,training
52,contributed to software,Software,9,9,Software,9,Software,11,-0.47565422787932815,-0.3724408292797149,training
53,Learned to make pottery or ceramics,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5519309393748293,-0.3868776940452716,training
54,fabricated the scaffolds,Resources,8,8,Resources,8,Resources,1,0.7056888678509309,-1.8500230727248534,training
55,performed quality control,Validation,13,13,Validation,13,Validation,7,-0.5459589857677651,-0.40077673499201677,training
56,performed all data analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.535524516009639,0.656429404050784,training
57,developed experimental strategy,Project administration,7,7,Project administration,7,Project administration,13,-0.49099782655291924,-0.41872139670818603,training
58,conducted investigations,Investigation,4,4,Investigation,4,Investigation,7,-0.5442584927307719,-0.4046635611187172,training
59,proposed analysis tools and plots,Resources,8,8,Resources,8,Resources,10,1.48939063497543,1.373811748968291,training
60,provided relevant intellectual input for this manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,5,-0.7058836340308213,-0.10237730194577589,training
61,discussed the results,Investigation,4,4,Investigation,4,Investigation,1,0.7022306430284387,-1.8269497259194252,training
62,Organized a garage sale,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.102277642964607,1.2706643238693112,training
63,led the effort on data preparation,Data curation,1,1,Data curation,1,Data curation,2,1.7771921399260036,-0.8298156756792799,training
64,Taught a cooking class to beginners,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.094169878193184,1.274647805461665,training
65,generated transgenic plants,Resources,8,8,Resources,8,Resources,7,-0.5448881652704112,-0.3939285344372345,training
66,provided technical expertise,Resources,8,8,Resources,8,Resources,7,-0.5216418984145949,-0.3718017727510674,training
67,implemented CopyMix,Software,9,9,Software,9,Software,7,-0.5188856369690097,-0.41855136036774787,training
68,did critical revision of article,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5237788056068432,-0.38959075582795516,training
69,made contribution in proofreading,Supervision,11,11,Supervision,11,Supervision,7,-0.543876746302454,-0.38642087117407914,training
70,Volunteered at a local food bank,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.218221894271497,1.369478680092059,training
71,Made homemade soap or candles,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5565876468490696,-0.3859301322134096,training
72,gave approval for the submission,Supervision,11,11,Supervision,11,Supervision,5,0.4305084278555792,-1.586546441992742,training
73,conducted analyses,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5365151497143902,-0.4215454266821771,training
74,provided key comments,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5289194079722485,-0.38367193005326583,training
75,performed the replication GWAS,Formal analysis,2,2,Formal analysis,2,Formal analysis,1,0.7118375256518507,-1.8725871052499798,training
76,contributed to data acquisition and curation,Data curation,1,1,Data curation,1,Data curation,16,2.632023237153356,2.537227268712711,training
77,improving data standardization and organization,Data curation,1,1,Data curation,1,Data curation,16,2.5235153526807417,2.4189135632163903,training
78,made major contributions to its conceptualization and design,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,10,1.4962008956124035,1.3693496302382535,training
79,designed algorithms in,Software,9,9,Software,9,Software,7,-0.5414269104698942,-0.38333768225581943,training
80,"extracted billing codes, clinical notes",Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5156676161054543,-0.38336396434815484,training
81,drafted manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,7,-0.507607989399566,-0.4325017466591434,training
82,made contribution in funding acquisition,Funding acquisition,3,3,Funding acquisition,3,Funding acquisition,7,-0.47296101969023374,-0.27440784782950706,training
83,provided logistical support,Resources,8,8,Resources,8,Resources,7,-0.5155898053873761,-0.3653482607595453,training
84,wrote software,Software,9,9,Software,9,Software,11,-0.666213698855013,-0.26932940976564795,training
85,Cooked a three-course meal for your family,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.3666198960288494,1.542321449171558,training
